skill,ID,age,sex,culture,endorse,meanz
X1.digtuber,12005,11,1,Hadza,1,0.939819103
X1.digtuber,12006,13,1,Hadza,0,0.939819103
X1.digtuber,12007,16,1,Hadza,1,0.939819103
X1.digtuber,12008,14,0,Hadza,1,0.939819103
X1.digtuber,12017,17,0,Hadza,1,0.939819103
X1.digtuber,12018,16,0,Hadza,1,0.939819103
X1.digtuber,12019,18,1,Hadza,1,0.939819103
X1.digtuber,12020,13,1,Hadza,1,0.939819103
X1.digtuber,12021,14,1,Hadza,1,0.939819103
X1.digtuber,12022,13,1,Hadza,1,0.939819103
X1.digtuber,12027,55,1,Hadza,1,0.939819103
X1.digtuber,12029,55,0,Hadza,1,0.939819103
X1.digtuber,12032,25,1,Hadza,1,0.939819103
X1.digtuber,12034,45,0,Hadza,1,0.939819103
X1.digtuber,12035,45,1,Hadza,1,0.939819103
X1.digtuber,12036,35,0,Hadza,1,0.939819103
X1.digtuber,12037,65,0,Hadza,1,0.939819103
X1.digtuber,12038,25,0,Hadza,1,0.939819103
X1.digtuber,12039,25,1,Hadza,0,0.939819103
X1.digtuber,12040,15,1,Hadza,1,0.939819103
X1.digtuber,12041,55,0,Hadza,1,0.939819103
X1.digtuber,12042,65,1,Hadza,1,0.939819103
X1.digtuber,12043,65,1,Hadza,0,0.939819103
X1.digtuber,12044,65,0,Hadza,1,0.939819103
X1.digtuber,12045,35,1,Hadza,1,0.939819103
X1.digtuber,12046,25,0,Hadza,1,0.939819103
X1.digtuber,12049,35,1,Hadza,1,0.939819103
X1.digtuber,12051,25,1,Hadza,0,0.939819103
X1.digtuber,12052,25,1,Hadza,0,0.939819103
X1.digtuber,12053,25,1,Hadza,1,0.939819103
X1.digtuber,12054,25,1,Hadza,0,0.939819103
X1.digtuber,12055,35,1,Hadza,0,0.939819103
X1.digtuber,12056,25,0,Hadza,1,0.939819103
X1.digtuber,12057,35,1,Hadza,1,0.939819103
X1.digtuber,12058,25,1,Hadza,0,0.939819103
X1.digtuber,12060,25,1,Hadza,1,0.939819103
X1.digtuber,12078,14,0,Hadza,1,0.939819103
X1.digtuber,12079,13,0,Hadza,1,0.939819103
X1.digtuber,12080,10,1,Hadza,0,0.939819103
X1.digtuber,12081,7,1,Hadza,1,0.939819103
X1.digtuber,12083,15,0,Hadza,1,0.939819103
X1.digtuber,12084,45,1,Hadza,1,0.939819103
X1.digtuber,12085,45,0,Hadza,1,0.939819103
X1.digtuber,12086,55,0,Hadza,1,0.939819103
X1.digtuber,12087,55,1,Hadza,1,0.939819103
X1.digtuber,12089,25,1,Hadza,1,0.939819103
X1.digtuber,12090,65,1,Hadza,1,0.939819103
X1.digtuber,12091,25,0,Hadza,1,0.939819103
X1.digtuber,12093,25,1,Hadza,1,0.939819103
X1.digtuber,12094,25,0,Hadza,0,0.939819103
X1.digtuber,12095,25,0,Hadza,1,0.939819103
X1.digtuber,12096,45,0,Hadza,1,0.939819103
X1.digtuber,12097,45,1,Hadza,1,0.939819103
X1.digtuber,12099,25,0,Hadza,1,0.939819103
X1.digtuber,12100,25,1,Hadza,1,0.939819103
X1.digtuber,12102,35,1,Hadza,0,0.939819103
X1.digtuber,12104,11,1,Hadza,1,0.939819103
X1.digtuber,12105,9,1,Hadza,1,0.939819103
X1.digtuber,12106,7,1,Hadza,0,0.939819103
X1.digtuber,12109,17,1,Hadza,0,0.939819103
X1.digtuber,12110,14,1,Hadza,1,0.939819103
X1.digtuber,12111,17,1,Hadza,1,0.939819103
X1.digtuber,12118,65,0,Hadza,1,0.939819103
X1.digtuber,12119,25,0,Hadza,1,0.939819103
X1.digtuber,12120,25,1,Hadza,1,0.939819103
X1.digtuber,12124,65,0,Hadza,1,0.939819103
X1.digtuber,12127,65,1,Hadza,0,0.939819103
X1.digtuber,12128,55,0,Hadza,1,0.939819103
X1.digtuber,12129,35,1,Hadza,1,0.939819103
X1.digtuber,12130,35,0,Hadza,1,0.939819103
X1.digtuber,12133,35,1,Hadza,1,0.939819103
X1.digtuber,12134,35,0,Hadza,1,0.939819103
X1.digtuber,12138,9,0,Hadza,1,0.939819103
X1.digtuber,12139,25,1,Hadza,0,0.939819103
X1.digtuber,12145,55,0,Hadza,1,0.939819103
X1.digtuber,12146,55,1,Hadza,1,0.939819103
X1.digtuber,12147,35,1,Hadza,1,0.939819103
X1.digtuber,12148,45,0,Hadza,1,0.939819103
X1.digtuber,12149,45,1,Hadza,1,0.939819103
X1.digtuber,12150,35,0,Hadza,1,0.939819103
X1.digtuber,12151,35,1,Hadza,1,0.939819103
X1.digtuber,12157,45,1,Hadza,1,0.939819103
X1.digtuber,12158,35,0,Hadza,1,0.939819103
X1.digtuber,12159,13,0,Hadza,1,0.939819103
X1.digtuber,12161,6,0,Hadza,1,0.939819103
X1.digtuber,12163,19,0,Hadza,1,0.939819103
X1.digtuber,12164,35,0,Hadza,1,0.939819103
X1.digtuber,12165,35,0,Hadza,1,0.939819103
X10.kasha,12005,11,1,Hadza,1,-1.728103856
X10.kasha,12006,13,1,Hadza,0,-1.728103856
X10.kasha,12007,16,1,Hadza,1,-1.728103856
X10.kasha,12008,14,0,Hadza,1,-1.728103856
X10.kasha,12017,17,0,Hadza,1,-1.728103856
X10.kasha,12018,16,0,Hadza,1,-1.728103856
X10.kasha,12019,18,1,Hadza,1,-1.728103856
X10.kasha,12020,13,1,Hadza,1,-1.728103856
X10.kasha,12021,14,1,Hadza,1,-1.728103856
X10.kasha,12022,13,1,Hadza,1,-1.728103856
X10.kasha,12027,55,1,Hadza,1,-1.728103856
X10.kasha,12029,55,0,Hadza,1,-1.728103856
X10.kasha,12032,25,1,Hadza,1,-1.728103856
X10.kasha,12034,45,0,Hadza,1,-1.728103856
X10.kasha,12035,45,1,Hadza,1,-1.728103856
X10.kasha,12036,35,0,Hadza,1,-1.728103856
X10.kasha,12037,65,0,Hadza,1,-1.728103856
X10.kasha,12038,25,0,Hadza,1,-1.728103856
X10.kasha,12039,25,1,Hadza,1,-1.728103856
